title,size,price,bedrooms,bathrooms
فيلا للبيع في شارع ، شارع علي البجادي ، الرياض,360.0,1200000.0,4.0,5.0
فيلا للبيع في حي العوالي ، الرياض,312.0,1200000.0,4.0,3.0
فيلا للبيع في شارع فتح مكة ، حي بدر ، الرياض,400.0,1100000.0,5.0,5.0
فيلا للبيع في طريق الأمير خالد بن بندر بن عبدالعزيز ، الرياض,475.6799679165831,1895102.5614597956,5.0,5.0
فيلا للبيع في حي الملقا ، الرياض,312.0,2000000.0,5.0,3.0
فيلا للبيع في الرياض,212.0,770000.0,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,250.0,920000.0,5.0,5.0
فيلا للبيع في طريق السيل الكبير ، الرياض,200.0,850000.0,6.0,5.0
فيلا للبيع في شارع أحمد بن سعيد بن الهندي ، الرياض,426.0,1850000.0,5.0,5.0
فيلا للبيع في شارع المباركة ، حي الحزم ، الرياض,312.0,1100000.0,5.0,5.0
فيلا للبيع في حي حطين ، الرياض,475.6799679165831,1895102.5614597956,6.0,5.0
فيلا للبيع في شارع ريحانه بنت زيد ، الرياض,360.0,1600000.0,4.0,5.0
فيلا للبيع في شارع العباس الرشيدي ، حي العزيزية ، الرياض,362.0,450000.0,5.0,5.0
فيلا للبيع في طريق ابي بكر الصديق ، الرياض,275.0,1350000.0,4.0,4.0
فيلا للبيع في طريق ابي بكر الصديق ، الرياض,202.0,1250000.0,5.0,5.0
فيلا للبيع في طريق الامام سعود بن فيصل ، حي الصحافة ، الرياض,525.0,1895102.5614597956,5.0,5.0
فيلا للبيع في طريق الامير عبدالرحمن بن سعود ، الرياض,312.0,1120000.0,3.0,5.0
فيلا للبيع في الرياض,400.0,2500000.0,5.0,4.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,300.0,900000.0,4.0,5.0
فيلا للبيع في طريق الملك عبدالعزيز ، الرياض,500.0,3000000.0,5.0,5.0
فيلا للبيع في حي حطين ، الرياض,405.0,2600000.0,5.0,5.0
فيلا للبيع في طريق ابي بكر الصديق ، الرياض,426.0,2000000.0,4.0,4.0
فيلا للبيع في شارع ريحانه بنت زيد ، الرياض,426.0,1750000.0,4.0,4.0
فيلا للبيع في شارع علي البجادي ، الرياض,396.0,1350000.0,3.0,3.0
"فيلا للبيع في شارع الفجيرة, النهضة, الرياض",375.0,1250000.0,5.0,5.0
فيلا للبيع في شارع ابي علي الطوسي ، حي ظهرة البديعة ، الرياض,600.0,920000.0,5.0,5.0
فيلا للبيع في شارع النشرة ، حي الصحافة ، الرياض,651.0,1895102.5614597956,5.0,5.0
فيلا للبيع في الرياض,319.0,1400000.0,4.0,5.0
فيلا للبيع في حي العليا ، الرياض,419.0,1600000.0,4.0,5.0
فيلا للبيع في شارع السفراء ، حي الروضة ، الرياض,399.0,1600000.0,5.0,5.0
فيلا للبيع في حي نمار ، الرياض,670.0,1500000.0,5.0,5.0
فيلا للبيع في حي الملقا ، الرياض,338.0,2300000.0,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,300.0,1280000.0,5.0,5.0
فيلا للبيع في شارع احمد المنقور ، حي الروابي ، الرياض,475.6799679165831,3000000.0,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,336.0,1100000.0,3.0,4.0
فيلا للبيع في حي الرمال ، الرياض,230.0,1050000.0,5.0,5.0
فيلا للبيع في شارع سعيد الحاجب ، حي الرمال ، الرياض,400.0,1350000.0,4.0,5.0
فيلا للبيع في شارع بنبان ، حي العليا ، الرياض,660.0,1500000.0,5.0,5.0
فيلا للبيع في شارع تقي الدين التميمي ، حي النهضة ، الرياض,500.0,1300000.0,5.0,3.0
فيلا للبيع في شارع عبدالرحمن الداخل ، الرياض,450.0,1450000.0,5.0,5.0
فيلا للبيع في حي حطين ، الرياض,437.0,2600000.0,5.0,5.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,200.0,790000.0,5.0,5.0
"فيلا للبيع في شارع Al Khobob, الملقا, الرياض",475.6799679165831,1895102.5614597956,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,270.0,1300000.0,5.0,5.0
فيلا للبيع في شارع شهاب الدين العفيفي ، حي النهضة ، الرياض,475.6799679165831,1350000.0,5.0,5.0
فيلا للبيع في حي العزيزية ، الرياض,500.0,1500000.0,5.0,4.0
فيلا للبيع في حي الجنادرية ، الرياض,300.0,1100000.0,4.0,4.0
فيلا للبيع في طريق ابي بكر الصديق ، الرياض,250.0,1400000.0,5.0,4.0
فيلا للبيع في الرياض,373.0,2200000.0,5.0,5.0
فيلا للبيع في الرياض,450.0,1700000.0,5.0,5.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,450.0,1450000.0,5.0,5.0
فيلا للبيع في حي العوالي ، الرياض,450.0,1500000.0,5.0,5.0
فيلا للبيع في شارع الأنبار ، الرياض,665.0,1895102.5614597956,5.0,5.0
