time_duration,neighborhood
3 days 00:00:00,الرمال
3 days 00:00:00,نمار
0 days 04:00:00,الياسمين
1 days 00:00:00,طويق
3 days 00:00:00,الجنادرية
21 days 00:00:00,العارض
0 days 07:00:00,عرقة
3 days 00:00:00,طويق
1 days 00:00:00,طويق
91 days 06:00:00,النرجس
1 days 00:00:00,الربوة
1 days 00:00:00,العقيق
91 days 06:00:00,الرمال
7 days 00:00:00,بدر
30 days 10:00:00,النرجس
60 days 20:00:00,العارض
7 days 00:00:00,المهدية
1 days 00:00:00,العارض
0 days 04:00:00,الندى
7 days 00:00:00,النرجس
0 days 06:00:00,الملقا
60 days 20:00:00,المونسية
30 days 10:00:00,الجنادرية
0 days 04:00:00,الياسمين
0 days 06:00:00,الرمال
0 days 23:00:00,الياسمين
0 days 08:00:00,الفلاح
7 days 00:00:00,طويق
0 days 06:00:00,الصحافة
7 days 00:00:00,طويق
5 days 00:00:00,طويق
6 days 00:00:00,الفلاح
4 days 00:00:00,المهدية
3 days 00:00:00,النرجس
0 days 04:00:00,حطين
1 days 00:00:00,الحمراء
6 days 00:00:00,حطين
21 days 00:00:00,المهدية
30 days 10:00:00,المعيزلة
28 days 00:00:00,السويدي
0 days 08:00:00,طويق
30 days 10:00:00,الرمال
5 days 00:00:00,طويق
0 days 07:00:00,الملقا
0 days 04:00:00,العقيق
91 days 06:00:00,الحزم
